feature_name,description,reach,impact,confidence,effort,kpi_target
Referral Program,User referrals with rewards,8000,2.5,70,4,+30% signups
Onboarding Tutorial,Interactive guide for new users,5000,2.0,80,2,+10pp Day 1 retention
Analytics Dashboard,Premium analytics and reports,2000,3.0,60,4,+2pp paid conversion
Dark Mode,Dark theme option,10000,0.5,90,2,User satisfaction
Real-time Collaboration,Multiple users editing together,3000,2.0,50,8,+20% team adoption
Mobile App iOS,Native iOS application,15000,2.5,70,12,+40% DAU
AI Suggestions,ML-powered recommendations,7000,2.0,40,6,+15% engagement
Performance Boost,50% faster load times,12000,1.0,90,3,Reduce churn 1pp
Email Notifications,Customizable email alerts,6000,1.5,80,2,+8% re-engagement
Enterprise SSO,Single sign-on for enterprise,500,3.0,85,3,Close 5 deals
API Rate Limits,Increased API limits,1000,0.5,100,1,Reduce support tickets
White-label Branding,Custom branding for enterprise,300,2.5,75,5,+50K ARR
Keyboard Shortcuts,Power user shortcuts,2000,0.5,90,1,+5% power user retention
Team Workspace,Dedicated team spaces,4000,2.0,70,5,+25% paid seats
Data Export,Export all user data,5000,1.0,95,2,Compliance requirement
